name,ra,dec,time,fluence
GRB 991117,207.06,-42.49,51499.9071,1.06E-07
GRB 980523,198.71,-42.4,50956.03266,0.00000021
GRB 961027-,67.38,-42.38,50383.48897,0.000001034
GRB 970201-,178.14,-42.35,50480.93444,9.59E-09
GRB 981103,26.6,-42.24,51120.56974,6.82E-08
GRB 990622-,50.23,-42.22,51351.67025,9.08E-09
GRB 990425-,58.81,-42.14,51293.45313,0.000000267
GRB 990708-,269.86,-42.13,51367.85684,5.62E-09
4B 940714-,333.58,-42.1,49547.53775,1.21E-06
4B 920525-,299.63,-42.05,48767.14377,0.000029021
GRB 990619,223.31,-42.03,51348.54308,NaN
4B 960205-,110.11,-41.99,50118.39918,0.000002377
GRB 970404-,216.28,-41.79,50542.83755,1.39E-07
GRB 970315-,352.63,-41.7,50522.34801,9.15E-07
4B 920605,289.64,-41.7,48778.71238,0.000000991
4B 930403,42.92,-41.62,49080.52044,NaN
4B 931008-,280.11,-41.55,49268.03125,4.04E-07
GRB 980903,139.91,-41.54,51059.14935,5.41E-08
GRB 960906-,65.1,-41.47,50332.94432,1.62E-06
4B 930519,26.84,-41.46,49126.67631,2.54E-07
GRB 981127,155.51,-41.42,51144.63244,5.58E-07
4B 950920,350.71,-41.41,49980.75332,6.01E-08
GRB 000524,109.19,-41.36,51688.00631,3.44E-06
4B 940515-,341.64,-41.36,49487.08485,1.31E-07
GRB 990303-,330.92,-41.25,51240.37696,1.16E-06
GRB 990610-,62.35,-41.25,51339.51791,6.50E-08
GRB 000114-,152.5,-41.04,51557.51789,NaN
4B 930614-,33.3,-41.04,49152.69071,0.000001715
4B 940203,184.16,-40.95,49386.65759,5.13E-06
4B 940722,280.34,-40.91,49555.34612,0.00000148
