name,time,ra,dec,redshift,fluence
GRB 850718B,46264.8598,,,,0.000016
GRB 850719,46266.01188,,,,0.00007
GRB 850726,46272.13334,,,,0.0000103
GRB 850729,46275.07905,,,,0.0000038
GRB 850805,46282.03384,,,,0.00035
GRB 850811,46288.01763,,,,0.000048
GRB 850820A,46297.61392,,,,0.0001
GRB 850820B,46297.61944,,,,0.0000302
GRB 850826,46303.53787,,,,0.000037
GRB 850826,46303.53697,,,,0.000037
GRB 850827,46304.96383,,,,0.0000089
GRB 850907,46315.58694,,,,0.000045
GRB 850922,46330.52591,,,,0.000115
GRB 850927A,46335.49049,,,,0.0000285
GRB 850927B,46335.49671,,,,0.00053
GRB 851012,46350.4475,,,,0.0000043
GRB 851017,46355.40128,,,,0.000048
GRB 851017,46355.39824,,,,0.000048
GRB 851024,46362.62237,,,,0.0000066
GRB 851101,46370.18047,,,,0.0000122
GRB 851229,46428.68205,,,,0.0000068
GRB 860105,46435.73237,,,,0.0000218
GRB 860115,46445.39912,,,,0.000038
GRB 860128,46458.54244,,,,0.00005
GRB 860214,46475.62536,,,,0.0000104
GRB 860218,46479.19324,,,,0.0000036
GRB 860220,46481.85622,,,,0.0000369
GRB 860302,46491.48013,,,,0.0000088
GRB 860311,46500.73079,,,,0.0009
GRB 860326,46515.1487,,,,0.0000078
GRB 860331,46520.51631,,,,0.000047
GRB 860502,46552.91771,,,,0.000006
GRB 860517,46567.10512,,,,0.00027
