name,ra,dec
3FGL J1038.9-5311,159.7352,-53.1861
3FGL J2357.8-5310,359.4513,-53.1782
3FGL J1229.8-5305,187.4686,-53.0932
3FGL J0157.0-5301,29.2511,-53.027
3FGL J1326.6-5256,201.663,-52.9393
3FGL J0928.3-5255,142.0846,-52.9234
3FGL J1721.4-5253,260.3564,-52.8969
3FGL J0003.2-5246,0.8152,-52.7771
3FGL J2354.8-5245,358.7022,-52.7634
3FGL J1404.3-5241,211.0774,-52.6981
3FGL J0829.8-5239,127.4685,-52.6586
3FGL J2241.6-5237,340.4182,-52.6228
3FGL J1518.2-5232,229.5712,-52.5349
3FGL J1533.8-5231,233.4725,-52.5326
3FGL J1825.2-5230,276.3207,-52.5093
3FGL J0740.6-5230,115.1616,-52.5042
3FGL J0209.4-5229,32.3707,-52.4979
3FGL J1057.9-5227,164.4991,-52.4554
3FGL J2221.6-5225,335.4108,-52.4215
3FGL J1209.1-5224,182.2791,-52.4036
3FGL J1701.3-5216,255.343,-52.2694
3FGL J1003.7-5215,150.9474,-52.2521
3FGL J0810.5-5214,122.6301,-52.2473
3FGL J2316.8-5209,349.2158,-52.1664
3FGL J2246.7-5205,341.6791,-52.0889
3FGL J0147.0-5204,26.7656,-52.0781
3FGL J0133.2-5159,23.3202,-51.9868
3FGL J1717.4-5157,259.3645,-51.9649
3FGL J1419.1-5156,214.776,-51.942
3FGL J0923.8-5154,140.9651,-51.904
3FGL J1620.8-5149,245.2026,-51.8298
3FGL J1615.3-5146e,243.83,-51.78
3FGL J1639.4-5146,249.8695,-51.7788
3FGL J1542.9-5141,235.7457,-51.6924
3FGL J0022.1-5141,5.5479,-51.691
3FGL J0647.0-5134,101.766,-51.57
3FGL J0748.7-5116,117.1785,-51.2795
3FGL J1231.6-5113,187.9024,-51.221
3FGL J0915.8-5110,138.9641,-51.1799
3FGL J1902.0-5107,285.5135,-51.125
3FGL J0314.3-5103,48.5786,-51.0612
3FGL J0210.7-5101,32.6972,-51.0282
3FGL J1620.0-5101,245.0092,-51.0278
3FGL J2348.4-5100,357.1,-51.0079
3FGL J0826.3-5056,126.5885,-50.9478
3FGL J1616.2-5054e,244.06,-50.91
3FGL J1207.2-5052,181.824,-50.87
3FGL J2236.2-5049,339.0569,-50.8279
3FGL J1732.5-5048,263.1488,-50.8011
